name,review_count,categories,rating,price,zip_code,street
Il Etait une Oie dans le Sud Ouest,35,french,4.5,3.0,75017, Rue Gustave Flaubert
L'Atelier de Joël Robuchon,376,french,4.0,4.0,75007, rue de Montalembert
L'Acolyte de l'Insolite,7,french,4.5,3.0,75011, rue de la Folie Méricourt
Le Petit Broc,35,brasseries,4.0,2.0,75014, boulevard Raspail
La Cuisine de Philippe,33,french,4.5,3.0,75006, rue Servandoni
Framboise,200,creperies,4.0,2.0,75008, rue de Ponthieu
Le Gramont,14,bistros,4.5,,75009, boulevard des Italiens
L'Espadon,4,french,5.0,,75001, place Vendôme
L'Auberge Café,34,french,4.0,2.0,75001, rue Bertin Poirée
Comice,11,french,5.0,,75016, avenue de Versailles
la crêperie,72,creperies,4.5,1.0,75008, rue Pasquier
Le Coq Rico,104,bistros,4.5,4.0,75018, Rue Lepic
Le Louis,30,french,4.5,3.0,75001, rue Coquillière
Le Rigmarole,9,french,4.5,,75011, rue du Grand Prieuré
Le Bon Georges,47,bistros,4.5,3.0,75009, rue Saint-Georges
Shakespeare and Company,302,bookstores,4.5,2.0,75005, rue de la Bûcherie
Chungking Express,20,chinese,4.5,2.0,75009, rue de la Tour d'Auvergne
Kouchery du Bon Coeur,6,egyptian,4.5,1.0,75018, rue Mont-Cenis
IMA,16,mediterranean,4.5,2.0,75010, quai de Valmy
Le Village Monge,21,brasseries,4.0,2.0,75005, rue Monge
Ob-la-Di,96,breakfast_brunch,4.5,2.0,75003, rue de Saintonge
Le Royal,47,bistros,4.0,2.0,75007, rue de Grenelle
Happy Caffé,54,creperies,5.0,1.0,75001, rue de Rivoli
Po Boy,6,cajun,5.0,,75010,Quai de Jemmapes
Le Cadoret,3,bistros,5.0,,75019, rue Pradier
Sanukiya,342,japanese,4.5,2.0,75001, rue d'Argenteuil
Caprice café,4,french,4.5,2.0,75014, Avenue Jean Moulin
Les Ursulines,5,french,4.5,2.0,75005, rue Gay Lussac
La Cantine des Tsars,4,russian,4.5,,75001, rue du Roule
L'Acanthe,28,french,4.0,2.0,75004, rue Saint Martin
Chez Gladines,222,basque,4.0,2.0,75005, bd Saint-Germain
L'Arpège,212,french,4.0,4.0,75007, rue de Varenne
Djakarta Bali,77,indonesian,4.0,3.0,75001, rue Vauvilliers
Ô Chateau,144,wine_bars,4.5,2.0,75001, rue Jean-Jacques Rousseau
Langousta,31,seafood,5.0,2.0,75016, rue Singer
Au Pied de Cochon,324,seafood,3.0,3.0,75001, rue Coquillière
La Crêperie,91,creperies,4.0,2.0,75005, rue Soufflot
Breakfast in America,285,breakfast_brunch,4.0,2.0,75005, rue des Ecoles
La Maison de la Truffe,83,french,4.5,4.0,75008, place de la Madeleine
Le Cosy,19,french,4.0,2.0,75012, avenue de Saint-Mandé
Le Baudelaire,15,french,4.5,3.0,75001,- rue Duphot
Au Père Louis,252,wine_bars,4.0,2.0,75006, rue Monsieur le Prince
Le Festiv',9,bistros,4.0,2.0,75017, rue Guy Moquet
La Brigade,2,popuprestaurants,5.0,,75002, boulevard des Italiens
Le Tout Petit,23,bistros,4.0,2.0,75017, place du Docteur Félix Lobligeois
Les Petites Canailles,20,french,4.0,2.0,75011, rue Amelot
Le Mimosa,7,cafes,4.0,2.0,75001, rue du Pont-Neuf
Pret A Manger,3,coffee,4.5,,75001,- rue du Louvre
Les Enfants du Marché,1,seafood,5.0,,75003, rue de Bretagne
Chez Margot,53,french,4.0,2.0,75004,  bd Henri IV
Da Franco,16,italian,4.0,3.0,75017, rue Ruhmkorff
Le Volant Basque,223,basque,4.5,2.0,75015, rue Béatrix Dussane
Le Fumoir,311,lounges,4.0,3.0,75001, rue de l'Amiral de Coligny
Le Maine Café,17,brasseries,4.0,2.0,75014, avenue du Maine
FLESH,64,bbq,4.0,2.0,75009, rue de Douai
Canard et Champagne,25,french,4.5,3.0,75002, passage des Panoramas
Gumbo Yaya,64,chickenshop,4.0,2.0,75010, rue Charles Robin
Cocorico,33,breakfast_brunch,4.5,,75007, rue du Bac
Le Petit Canard,188,french,4.5,2.0,75009, rue Henri Monnier
Joséphine chez Dumonet,116,bistros,4.0,3.0,75006, rue du Cherche-Midi
Au Bougnat,69,french,4.0,3.0,75004, rue Chanoinesse
Chez Papa,6,french,4.5,2.0,75019, rue du Pré Saint-Gervais
Bouillon Chartier,945,french,3.5,2.0,75009, rue du Faubourg Montmartre
Marcel et Clémentine,10,bistros,4.0,3.0,75009, rue de Dunkerque
Café de la Butte,19,french,5.0,3.0,75018, Rue Caulaincourt
Le V,10,french,4.5,,75008, rue Vernet
Chez Paul,2,bistros,5.0,,75001, rue des Déchargeurs
Bistrot de l'Oulette,39,french,4.0,2.0,75004, rue Tournelles
L'Imprimerie,49,cafes,4.0,2.0,75001, rue Coquillière
Boulettes,47,french,4.5,2.0,75002, rue Saint-Denis
Enza & Famiglia Trattoria Pasta,42,italian,4.5,2.0,75001, rue Saint-Honoré
L'Aligot,8,auvergnat,5.0,,75017, avenue Niel
Le Relais de Venise - l'Entrecôte,273,desserts,4.0,3.0,75017, boulevard Pereire
Etude,8,french,4.5,,75116, rue de Bouquet de Longchamp
Bistrot Richelieu,172,french,4.0,2.0,75001, rue de Richelieu
Bistrot d'Yves,10,french,4.5,3.0,75017, rue Cardinet
Puerta del Sol,7,peruvian,5.0,2.0,75017, rue de la Félicite
La Régalade Conservatoire,31,brasseries,4.5,3.0,75009,Hotel de Nell Paris
Greenhouse,2,bistros,4.5,2.0,75011, rue Crespin du Gast
Pavillon Ledoyen,65,french,4.0,4.0,75008, avenue Dutuit
Le Fournil,26,creperies,4.5,1.0,75006, rue Monsieur le Prince
P'Tite Bougnate,20,french,4.0,2.0,75010, Boulevard Magenta
Le Cochon à l'Oreille,29,french,4.0,2.0,75001, rue Montmartre
L'Écir,31,bars,4.0,2.0,75014, bd Saint Jacques
L'Ebouillanté,69,french,4.0,2.0,75004, rue des Barres
Cézembre,17,french,5.0,3.0,75006, rue Grégoire de Tours
Maison de la Culture Arménienne,14,armenian,4.5,2.0,75009, rue Bleue
Le Warner,1,diners,5.0,,75020, rue des Couronnes
Le Bistro de Gaspard,3,french,5.0,2.0,75007, avenue Duquesne
Le Petit Lux,19,bistros,4.5,2.0,75006, rue de Vaugirard
Le Caveau du Palais,25,french,4.5,3.0,75001, place Dauphine
La Grange aux Canards,13,french,4.5,,75005, rue Frédéric Sauton
Crêperie du Cloître,35,creperies,4.0,1.0,75004, rue Cloître Notre Dame
Le Bougnat,8,french,4.5,2.0,75003, rue de Saintonge
Fragments,61,cafes,4.5,2.0,75003, rue des Tournelles
Belhara,13,basque,4.5,3.0,75007, Rue Duvivier
Le Petit Curieux,14,french,4.5,2.0,75003, rue Filles du Calvaire
20 Eiffel,15,french,4.5,,75007, rue de Monttessuy
Au Reveil du XV,27,french,4.5,2.0,75015, rue Falguière
Song Huong,52,vietnamese,4.5,2.0,75013, avenue de Choisy
Feu,2,rotisserie_chicken,5.0,,75001, rue de l'Arbre Sec
San,3,thai,5.0,,75001, rue Coquillière
Le Bûcheron,69,italian,4.0,2.0,75004, rue de Rivoli
Le Bosquet,171,bars,4.0,2.0,75007, avenue du Bosquet
Les Caves de Bourgogne,74,brasseries,4.0,2.0,75005, rue Mouffetard
Chez Toinette,64,french,4.5,3.0,75018, rue Germain Pilon
La Pause Beaubourg,6,brasseries,4.0,2.0,75004, rue Renard
Bistrot Paul Bert,282,bistros,3.5,3.0,75011, rue Paul Bert
Bouillon Pigalle,80,french,3.5,2.0,75018, boulevard Clichy
L'Auberge des Deux Ponts,68,french,4.0,2.0,75004, rue des Deux Ponts
Semilla,92,french,4.0,3.0,75006, Rue Seine
Au Plaisir,1,bistros,5.0,,75001, rue Coquillière
Blackburn,54,cafes,4.5,2.0,75010, rue du faubourg Saint-Martin
Firmine,390,italian,4.0,2.0,75015,  avenue de Suffren
Heureux Comme Alexandre,96,fondue,4.5,2.0,75005, rue Parcheminerie
La Taverne,17,brasseries,4.0,2.0,75009, boulevard des Italiens
Chez Savy,25,french,4.5,3.0,75008, rue Bayard
L'Atelier Maître Albert,100,french,4.0,3.0,75005, Rue Maitre Albert
La Terrasse du 7eme,121,brasseries,3.5,2.0,75007, place de l'École Militaire
L'Alivi,126,french,4.0,2.0,75004, rue du Roi de Sicile
Jacopo,4,bistros,5.0,,75008,  rue Vernet
La Marine,128,french,3.5,2.0,75010, quai de Valmy
